tipo,isArray,nombreJava,numP,nombreCloud,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$AbstractConcurHeader->Constant,1,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$AbstractConcurHeader->RecordCount,2,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$AbstractConcurHeader->BatchDate,3,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$AbstractConcurHeader->JournalAmountHashTotal,4,,,,,,
java.util.List,1,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines,0,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$BatchData->Constant,1,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$BatchData->BatchID,2,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$BatchData->BatchDate,3,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$BatchData->SequenceNumber,4,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EMPID,5,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->LastName,6,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->FirstName,7,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->MI,8,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->GroupID,9,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EmployeeOrgUnit1Tipo,10,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EmployeeOrgUnit2Depto,11,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EmployeeOrgUnit3,12,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EmployeeOrgUnit4,13,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EmployeeOrgUnit5,14,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->EmployeeOrgUnit6,15,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->ACHBankAccountNumber,16,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->ACHBankRoutingNumber,17,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EmployeeData->FutureUse,18,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportID,19,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportKey,20,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->Ledger,21,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReimbursementCurrencyAlphaISE,22,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->HomeCountry,23,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportSubmitDate,24,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportUserDefinedDate,25,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportPaymentProcessingDate,26,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportName,27,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->Reportimagerequired,28,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReporthasVATentry,29,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReporthasTAentry,30,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportTotalPostAmount,31,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportTotalApprovedAmount,32,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportPolicyName,33,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->FutureUse,34,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportOrgUnit1Tipo,35,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportOrgUnit2Depto,36,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportOrgUnit3,37,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportOrgUnit4,38,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportOrgUnit5,39,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportOrgUnit6,40,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom1SGAGrouping,41,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom2,42,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom3,43,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom4,44,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom5,45,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom6,46,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom7,47,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom8,48,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom9,49,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom10,50,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom11,51,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom12,52,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom13,53,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom14,54,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom15,55,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom16,56,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom17,57,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom18,58,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom19,59,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$ReportData->ReportCustom20,60,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryId,61,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryTransactionType,62,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ExpenseType,63,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryTransactionDate,64,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->SpendCurrencyAlphaISO,65,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->CurrencyExchangeRate,66,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ExchangeRateDirection,67,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->IsPersonal,68,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryDescription,69,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->VendorName,70,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->VendorDescription,71,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReceiptReceived,72,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReceiptType,73,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->TotalEmployeeAttendee,74,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->AttendeeCountSpouse,75,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->AttendeeCountBusiness,76,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryOrgUnit1Tipo,77,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryOrgUnit2Depto,78,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryOrgUnit3,79,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryOrgUnit4,80,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryOrgUnit5,81,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryOrgUnit6,82,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom1SGAGrouping,83,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom2LGTransactionType,84,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom3Location,85,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom4ProyectoSN,86,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom5Proyecto,87,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom6Subcategoría,88,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom7RFCTaxID,89,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom8NumFactura,90,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom9,91,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom10,92,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom11,93,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom12,94,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom13,95,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom14,96,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom15,97,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom16,98,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom17,99,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom18,100,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom19,101,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom20,102,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom21,103,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom22,104,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom23,105,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom24,106,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom25,107,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom26,108,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom27,109,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom28,110,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom29,111,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom30,112,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom31,113,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom32,114,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom33,115,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom34,116,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom35,117,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom36,118,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom37,119,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom38,120,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom39,121,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportEntryCustom40,122,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryTransactionAmount,123,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryPostedAmount,124,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryApprovedAmount,125,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryPaymentCode,126,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->EntryPaymentCodeName,127,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->ReportPaymentReimbursementType,128,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$EntryData->BillDate,129,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->BilledCreditCardAccountNumber,130,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->BilledCreditCardDescription,131,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->TransactionJRKey,132,,,,,,
java.lang.String,0,oracle.java.erpsol.com.esb.pojo.concur.AbstractConcur$Lines$Line$CreditCardData->REFNO,133,,,,,,
